species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,foodspec,habitatspec
Pacific_Black_Duck,1060,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,before.afterBefore,-0.295386458,0.157669848,-1.873449252,0.061006374,0.017961576,9519,TRUE,4,8
Chestnut_Teal,638,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,before.afterBefore,-0.685065255,0.185962752,-3.68388427,0.000229707,0.061825846,9554,TRUE,3,9
Maned_Duck,808,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,before.afterBefore,-0.560154633,0.153379275,-3.652088143,0.000260117,0.022009984,9526,TRUE,2,5
Brown_Cuckoo-Dove,202,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,before.afterBefore,-0.514328623,0.206265164,-2.493531199,0.012647947,0.045474285,9542,TRUE,2,4
Wonga_Pigeon,429,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,before.afterBefore,-0.083171155,0.15101676,-0.550741224,0.581811081,0.049700808,9545,TRUE,2,5
Common_Bronzewing,331,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,-0.201185639,0.226478428,-0.888321421,0.37436788,0.060977463,9564,TRUE,2,11
Crested_Pigeon,192,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-1.0984736,0.15043714,-7.301877735,2.84E-13,0.015919326,9545,TRUE,2,9
Shining_Bronze-Cuckoo,24.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,before.afterBefore,-0.052732507,0.35752434,-0.147493474,0.88274253,0.130209973,9551,TRUE,1,9
Fan-tailed_Cuckoo,49.9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,0.797709477,0.272345532,2.929034565,0.003400166,0.14241193,9527,TRUE,1,10
Masked_Lapwing,316,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.5122274,0.143234981,-3.576133411,0.000348714,0.025680411,9522,TRUE,3,10
Silver_Gull,287,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,before.afterBefore,-0.536424176,0.151396319,-3.54317846,0.000395335,0.034587814,9559,TRUE,6,12
Australian_Pelican,5400,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,before.afterBefore,-0.511768151,0.191062823,-2.678533388,0.007394536,0.030254661,9558,TRUE,4,7
White-faced_Heron,571,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,before.afterBefore,-0.108534891,0.170563116,-0.636332714,0.524559586,0.050656405,9525,TRUE,3,11
Little_Pied_Cormorant,688,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,before.afterBefore,-0.389564974,0.170824356,-2.280500175,0.02257804,0.033298133,9525,TRUE,2,7
Great_Cormorant,2540,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,before.afterBefore,-0.929824145,0.140150286,-6.634479118,3.26E-11,0.029951694,9547,TRUE,2,7
Little_Black_Cormorant,860,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,before.afterBefore,-0.517023158,0.189834765,-2.723543065,0.006458579,0.021388111,9553,TRUE,2,7
Wedge-tailed_Eagle,3630,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,before.afterBefore,0.020072586,0.213958793,0.093815196,0.925255961,0.038051304,9548,TRUE,2,11
White-bellied_Sea-Eagle,2820,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,before.afterBefore,0.244694185,0.253014373,0.967115747,0.333486174,0.073984672,9555,TRUE,4,8
Whistling_Kite,769,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,-0.051991108,0.207476672,-0.250587731,0.802132869,0.034627299,9550,TRUE,4,20
Sacred_Kingfisher,53.1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,before.afterBefore,-0.095395996,0.203939825,-0.46776541,0.639952359,0.175967559,9548,TRUE,4,15
Laughing_Kookaburra,312,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.00836317,0.118585013,0.070524681,0.943776057,0.055466086,9492,TRUE,3,7
Yellow-tailed_Black-Cockatoo,661,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,-0.26334524,0.140941377,-1.868473589,0.061696088,0.044490772,9553,TRUE,2,7
Gang-gang_Cockatoo,257,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,before.afterBefore,-0.346182438,0.185969335,-1.861502799,0.062673206,0.04690305,9559,TRUE,1,4
Galah,306,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.247372958,0.152958321,-1.617257283,0.105822756,0.02977863,9552,TRUE,1,11
Sulphur-crested_Cockatoo,735,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.566076367,0.13637246,-4.150958115,3.31E-05,0.039196406,9545,TRUE,2,11
Australian_King-Parrot,207,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,before.afterBefore,-0.383399583,0.128104472,-2.992866497,0.002763706,0.041782826,9518,TRUE,2,7
Crimson_Rosella,126,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.146530486,0.111325627,-1.316233188,0.188095788,0.041005263,9523,TRUE,3,7
Eastern_Rosella,104,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.493555072,0.251453899,1.962805406,0.049668789,0.028448587,9513,TRUE,2,8
Rainbow_Lorikeet,126,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,before.afterBefore,-0.197668374,0.121273361,-1.629940597,0.103114052,0.033227245,9534,TRUE,2,8
Superb_Lyrebird,1080,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,before.afterBefore,0.068260389,0.142443291,0.47921098,0.631788544,0.039075333,9551,TRUE,2,3
Satin_Bowerbird,202,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,-0.146258724,0.129198364,-1.132047808,0.257614335,0.034459471,9517,TRUE,3,6
White-throated_Treecreeper,20.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,before.afterBefore,0.137517172,0.108358143,1.269098649,0.204405882,0.049898512,9501,TRUE,1,3
Variegated_Fairywren,8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,-0.293684788,0.247999041,-1.184217436,0.236327002,0.059406503,9537,TRUE,1,13
Superb_Fairywren,10.6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.250695597,0.110706585,2.264504837,0.023543083,0.03830214,9490,TRUE,3,9
Scarlet_Myzomela,8.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,before.afterBefore,0.398039113,0.239945459,1.658873293,0.097141327,0.04694697,9531,TRUE,2,5
Noisy_Friarbird,100,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,before.afterBefore,-0.068991725,0.171661857,-0.401904806,0.687754086,0.04299051,9532,TRUE,4,5
New_Holland_Honeyeater,20.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,before.afterBefore,0.10568636,0.130747227,0.808325823,0.418903041,0.032904179,9558,TRUE,2,6
