Term,Estimate,Std. Error,z value,Pr(>|z|),deviance,N,converged,species,COMMON.NAME,median.sev,species_name,X99_Body_mass_average_8,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,foodspec,habitatspec,movetotal,localonly,localdisperse,feeding_specialisation
before.afterBefore,-0.48325115061571267,0.12716790082976662,-3.8001032293724584,1.446358246750051e-4,0.13215253962447912,8770,TRUE,Australian_King-Parrot,Australian King-Parrot,1.0889999866485596,Australian_King-Parrot,207,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,7,2,FALSE,TRUE,generalist
before.afterBefore,-0.6794761115952987,0.10432280641264036,-6.513207753515434,7.356265388164449e-11,0.07261435515595879,8784,TRUE,Australian_Magpie,Australian Magpie,1.496999979019165,Australian_Magpie,280,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,5,7,2,FALSE,TRUE,generalist
before.afterBefore,-0.7346347810680344,0.1187465738342776,-6.18657665098859,6.148479460636201e-10,0.13724569853446064,8770,TRUE,Australian_Raven,Australian Raven,1.3105000257492065,Australian_Raven,593,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,12,1,TRUE,TRUE,generalist
before.afterBefore,-0.07732138619984326,0.15013717297729998,-0.5150049429233218,0.6065495659392862,0.3725992814695266,8770,TRUE,Bell_Miner,Bell Miner,2.968100070953369,Bell_Miner,31.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,1,TRUE,TRUE,generalist
before.afterBefore,0.349209753924971,0.17409108360639836,2.005902580941466,0.04486664284464969,0.12889785609995466,8770,TRUE,Black-faced_Cuckooshrike,Black-faced Cuckooshrike,1.5234500169754028,Black-faced_Cuckooshrike,115,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,11,2,FALSE,TRUE,generalist
before.afterBefore,0.7445421344078335,0.27634359380850454,2.69426232809208,0.007054461833057132,0.34261675476850817,8770,TRUE,Black-faced_Monarch,Black-faced Monarch,1.5499000549316406,Black-faced_Monarch,22.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,FALSE,FALSE,specialist
before.afterBefore,-0.3691612043003162,0.2243856632488236,-1.6452085171366295,0.09992681771039932,0.1449543353161445,8770,TRUE,Brown-headed_Honeyeater,Brown-headed Honeyeater,2.5295000076293945,Brown-headed_Honeyeater,15.3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,3,FALSE,TRUE,generalist
before.afterBefore,-0.3481241105704021,0.22562929555195585,-1.5429029715258729,0.12285431974165895,0.34270768808221874,8770,TRUE,Brown_Cuckoo-Dove,Brown Cuckoo-Dove,1.5499000549316406,Brown_Cuckoo-Dove,202,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,4,2,FALSE,TRUE,generalist
before.afterBefore,-0.17099108622618409,0.160032161203393,-1.0684795164945804,0.2853042653195409,0.20825046709049755,8770,TRUE,Brown_Gerygone,Brown Gerygone,1.5499000549316406,Brown_Gerygone,5.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,1,TRUE,TRUE,specialist
before.afterBefore,0.19312768519797613,0.11176600111204883,1.727964526567965,0.08399458439635314,0.09129044212445525,8770,TRUE,Brown_Thornbill,Brown Thornbill,2.401700019836426,Brown_Thornbill,9,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,10,1,TRUE,TRUE,generalist
before.afterBefore,-0.12655246750005053,0.23804692800439506,-0.5316282321346066,0.5949835072045897,0.1594735877411508,8770,TRUE,Common_Bronzewing,Common Bronzewing,1.3940000534057617,Common_Bronzewing,331,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,2,11,3,FALSE,TRUE,generalist
before.afterBefore,-1.1477642675725312,0.1530785685497774,-7.49787692977614,6.485975260543799e-14,0.10668643038010237,8770,TRUE,Crested_Pigeon,Crested Pigeon,0.34139999747276306,Crested_Pigeon,192,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,9,1,TRUE,TRUE,generalist
before.afterBefore,-0.1285340695301192,0.12144960221299926,-1.0583325691318046,0.2899038495304931,0.19195566749972368,8773,TRUE,Crimson_Rosella,Crimson Rosella,1.6001999378204346,Crimson_Rosella,126,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,1,TRUE,TRUE,generalist
before.afterBefore,0.0808085369637967,0.2111200870819696,0.38276100621549064,0.701896976200238,0.24981877979832395,8770,TRUE,Dusky_Woodswallow,Dusky Woodswallow,1.9879000186920166,Dusky_Woodswallow,34.5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,6,2,FALSE,TRUE,generalist
before.afterBefore,0.18448498589871815,0.2348048653213432,0.7856949030687266,0.432046249988629,0.1963249971024158,8770,TRUE,Eastern_Rosella,Eastern Rosella,1.0333000421524048,Eastern_Rosella,104,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,8,1,TRUE,TRUE,generalist
before.afterBefore,0.4491038004038902,0.1270194597502201,3.535708633047559,4.066829719548989e-4,0.14041827424488143,8770,TRUE,Eastern_Spinebill,Eastern Spinebill,0.44449999928474426,Eastern_Spinebill,10.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,2,FALSE,TRUE,generalist
before.afterBefore,0.4771458982671648,0.13967272768929279,3.416170831349365,6.350839246854248e-4,0.19930129249550912,8770,TRUE,Eastern_Whipbird,Eastern Whipbird,2.031649947166443,Eastern_Whipbird,58.7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,5,1,TRUE,TRUE,generalist
before.afterBefore,0.31034263040168,0.11264815101762228,2.754973140687689,0.005869695381583411,0.13056512842672757,8770,TRUE,Eastern_Yellow_Robin,Eastern Yellow Robin,2.1433000564575195,Eastern_Yellow_Robin,19.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,8,1,TRUE,TRUE,specialist
before.afterBefore,0.0979397312936118,0.21655429441724508,0.4522640918166547,0.6510787410420538,0.21738541862073807,8770,TRUE,Eurasian_Blackbird,Eurasian Blackbird,0.34139999747276306,Eurasian_Blackbird,105,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,8,1,TRUE,TRUE,generalist
before.afterBefore,-0.6718040896472698,0.23933948224893214,-2.806908761290542,0.005001940673296441,0.21075848152019472,8770,TRUE,European_Starling,European Starling,0.9695000052452087,European_Starling,77.5,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,5,8,2,FALSE,TRUE,generalist
before.afterBefore,0.8813071401414653,0.2756060256024302,3.1977063571635287,0.0013852525932687234,0.18182743719287806,8770,TRUE,Fan-tailed_Cuckoo,Fan-tailed Cuckoo,1.84660005569458,Fan-tailed_Cuckoo,49.9,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,10,2,FALSE,TRUE,specialist
before.afterBefore,-0.5030705234327947,0.15627636875479353,-3.2191080931893215,0.001285900020233398,0.13633074703937292,8770,TRUE,Galah,Galah,1.607550024986267,Galah,306,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,11,1,TRUE,TRUE,specialist
before.afterBefore,-0.4867262899768583,0.19911506026615278,-2.4444473930111656,0.014507423665305618,0.22198540778397358,8770,TRUE,Gang-gang_Cockatoo,Gang-gang Cockatoo,1.1556999683380127,Gang-gang_Cockatoo,257,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,2,FALSE,TRUE,specialist
before.afterBefore,-0.050337485525110005,0.12481235219332322,-0.4033053190692354,0.6867236292243253,0.12444934572117376,8771,TRUE,Golden_Whistler,Golden Whistler,2.048550009727478,Golden_Whistler,38.5,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,9,2,FALSE,TRUE,generalist
before.afterBefore,-0.39913972481520493,0.14293355261881918,-2.7924844622007434,0.0052304979561637,0.1399560814062933,8770,TRUE,Gray_Butcherbird,Gray Butcherbird,1.5499000549316406,Gray_Butcherbird,90.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,7,1,TRUE,TRUE,generalist
before.afterBefore,0.07856645314915758,0.10910473261542837,0.7201012391102052,0.4714626646549825,0.10846324245508925,8772,TRUE,Gray_Fantail,Gray Fantail,1.9537999629974365,Gray_Fantail,7.8,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,11,2,FALSE,TRUE,specialist
before.afterBefore,-0.21565304392767606,0.11585657189106024,-1.8613794660733989,0.06269060824532323,0.10040595654591099,8770,TRUE,Gray_Shrikethrush,Gray Shrikethrush,2.448449969291687,Gray_Shrikethrush,67.5,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,10,2,FALSE,TRUE,generalist
before.afterBefore,-0.5302575954230195,0.19130515932019299,-2.7717893093280983,0.005574910739734041,0.14683311448049102,8770,TRUE,Jacky-winter,Jacky-winter,1.5499000549316406,Jacky-winter,14.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,1,TRUE,TRUE,specialist
before.afterBefore,-0.1670857607571811,0.11859996498573286,-1.4088179602521882,0.15888900300654998,0.11763579694771716,8770,TRUE,Laughing_Kookaburra,Laughing Kookaburra,1.7376999855041504,Laughing_Kookaburra,312,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,1,TRUE,TRUE,generalist
before.afterBefore,-0.2194051862406335,0.21601196051552682,-1.0157085085335484,0.30976821506139607,0.21029327160650532,8770,TRUE,Leaden_Flycatcher,Leaden Flycatcher,1.2748500108718872,Leaden_Flycatcher,13.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,2,FALSE,TRUE,specialist
before.afterBefore,0.10422497832188977,0.13424071276013835,0.7764036422252855,0.437510694794713,0.2957725752630713,8770,TRUE,Lewin's_Honeyeater,Lewin's Honeyeater,1.7769999504089355,Lewin's_Honeyeater,33.3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,7,1,TRUE,TRUE,generalist
before.afterBefore,-0.7113352752206866,0.3090316022130782,-2.301820493847807,0.02134529733045321,0.3867433645945084,8770,TRUE,Little_Raven,Little Raven,3.0195000171661377,Little_Raven,534,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,6,3,FALSE,TRUE,generalist
before.afterBefore,-0.42530957421791016,0.14887664068451723,-2.856791853056241,0.004279463724216465,0.3207269664647123,8770,TRUE,Little_Wattlebird,Little Wattlebird,0.4905499964952469,Little_Wattlebird,69.7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,5,2,FALSE,TRUE,generalist
before.afterBefore,-0.6513570891480164,0.14246340282544825,-4.572101158822415,4.828577143079212e-6,0.08188380402032125,8770,TRUE,Magpie-lark,Magpie-lark,1.5499000549316406,Magpie-lark,88,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,9,3,FALSE,TRUE,generalist
